sid,period,recipient,subject,group,profit,totalprofit,pair,roletrust,ingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,sent,returned,kindness,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,in_group,otherin_group,conddirect,condgrec,condin,condition,inbiasround,inbias,groupbias,groupkindness,groupsend,history
1,1,1,1,1,0,0,1,1,1,2,2,1,1,10,35,2,3,2,3,30,1,1,0,0,0,0,0,0,-99,6,0,0,0,35,7,1,1,2,1,28.442928,2,200,10,.050000001,0,4,1,0,1,0,0,0,0,1,0,0,4,,,,,200,1
1,1,2,1,1,0,0,1,1,1,2,2,1,1,10,35,2,3,4,1,30,1,1,0,0,0,0,0,0,-99,6,0,0,0,35,7,1,1,2,1,28.442928,2,200,10,.050000001,0,4,1,1,0,0,0,0,0,1,0,0,4,,,,,200,1
1,2,1,1,1,0,0,1,1,1,2,2,1,7,200,35,2,3,3,3,35,3,3,0,0,0,0,0,0,-99,3,0,0,0,225,45,1,1,2,1,28.442928,2,200,10,.050000001,0,4,1,0,0,0,0,0,0,0,0,0,1,,,,,200,1
1,2,2,1,1,0,0,1,1,1,2,2,1,7,200,35,2,3,5,1,35,3,3,0,0,0,0,0,0,-99,3,0,0,0,225,45,1,1,2,1,28.442928,2,200,10,.050000001,0,4,1,0,0,0,0,0,0,0,0,0,1,,,,,200,1
1,3,1,1,1,0,0,1,1,1,2,2,1,3,200,40,2,3,2,3,35,2,3,35,3,3,0,0,0,-99,4,0,0,0,260,52,1,1,2,1,28.442928,2,200,10,.050000001,10,4,1,0,0,0,1,0,0,0,1,0,3,,,,,200,1
1,3,2,1,1,0,0,1,1,1,2,2,1,3,200,30,2,3,4,3,35,2,3,35,3,3,0,0,0,-99,4,0,0,0,260,52,1,1,2,1,28.442928,2,200,10,.050000001,10,4,1,0,0,1,0,0,0,0,1,0,3,,,,,200,1
1,4,1,1,1,0,0,1,1,1,2,2,1,1,200,20,2,3,4,2,35,6,2,35,2,3,0,0,0,-99,6,0,0,0,260,52,1,1,2,1,28.442928,2,200,10,.050000001,30,4,1,0,0,1,0,0,0,0,1,0,3,,,,,200,0
1,4,2,1,1,0,0,1,1,1,2,2,1,1,200,50,2,3,6,2,35,6,2,35,2,3,0,0,0,-99,6,0,0,0,260,52,1,1,2,1,28.442928,2,200,10,.050000001,30,4,1,0,0,0,1,0,0,0,1,0,3,,,,,200,0
1,5,1,1,1,0,0,1,1,1,2,2,1,1,200,35,2,3,5,3,35,5,3,30,1,1,185,111.666666666666,0,-99,4,115,135,115,370,74,1,1,2,1,28.442928,2,200,10,.050000001,0,4,1,0,0,0,0,0,0,0,0,0,1,,,,,200,1
1,5,2,1,1,0,0,1,1,1,2,2,1,1,200,35,2,3,6,3,35,5,3,30,1,1,185,111.666666666666,0,-99,4,115,135,115,370,74,1,1,2,1,28.442928,2,200,10,.050000001,0,4,1,0,0,0,0,0,0,0,0,0,1,,,,,200,1
2,1,1,2,1,0,0,2,1,2,2,1,1,2,300,35,2,3,2,4,30,1,2,0,0,0,0,0,0,-99,6,0,0,0,335,67,1,1,3,1,38.820076,2,200,300,1.5,0,4,2,0,1,0,0,0,0,1,0,0,4,,,,,200,1
2,1,2,2,1,0,0,2,1,2,2,1,1,2,300,35,2,3,4,2,30,1,2,0,0,0,0,0,0,-99,6,0,0,0,335,67,1,1,3,1,38.820076,2,200,300,1.5,0,4,2,1,0,0,0,0,0,1,0,0,4,,,,,200,1
2,2,1,2,1,0,0,2,1,2,2,1,1,8,200,35,2,3,3,4,20,3,4,30,1,2,0,0,0,-99,3,0,0,0,265,53,1,1,3,1,38.820076,2,200,300,1.5,0,4,2,0,0,0,0,0,0,0,0,0,1,,,,,200,1
2,2,2,2,1,0,0,2,1,2,2,1,1,8,200,35,2,3,5,2,20,3,4,30,1,2,0,0,0,-99,3,0,0,0,265,53,1,1,3,1,38.820076,2,200,300,1.5,0,4,2,0,0,0,0,0,0,0,0,0,1,,,,,200,1
2,3,1,2,1,0,0,2,1,2,2,1,1,4,200,35,2,3,2,4,0,2,4,0,2,4,0,0,0,-99,4,0,0,0,235,47,1,1,3,1,38.820076,2,200,300,1.5,0,4,2,0,0,0,1,0,0,0,1,0,3,,,,,200,1
2,3,2,2,1,0,0,2,1,2,2,1,1,4,200,35,2,3,4,4,0,2,4,0,2,4,0,0,0,-99,4,0,0,0,235,47,1,1,3,1,38.820076,2,200,300,1.5,0,4,2,0,0,1,0,0,0,0,1,0,3,,,,,200,1
2,4,1,2,1,0,0,2,1,2,2,1,1,2,200,35,2,3,4,1,35,6,1,20,3,4,0,0,0,-99,6,0,0,0,255,51,1,1,3,1,38.820076,2,200,300,1.5,0,4,2,0,0,1,0,0,0,0,1,0,3,,,,,200,0
2,4,2,2,1,0,0,2,1,2,2,1,1,2,200,35,2,3,6,1,35,6,1,20,3,4,0,0,0,-99,6,0,0,0,255,51,1,1,3,1,38.820076,2,200,300,1.5,0,4,2,0,0,0,1,0,0,0,1,0,3,,,,,200,0
2,5,1,2,1,0,0,2,1,2,2,1,1,2,200,35,2,3,5,4,35,5,4,30,1,2,170,141.666666666666,0,-99,4,135,0,0,400,80,1,1,3,1,38.820076,2,200,300,1.5,0,4,2,0,0,0,0,0,0,0,0,0,1,,,,,200,1
