sid,period,recipient,sessionid,subject,group,profit,totalprofit,pair,roletrust,numingroup,svogroup,role,roledictator,trio,trustprofit,give,other1,other2,otherteam,othernum,dictator_roundpay,dictator_team,dictator_num,dictatorprofit,selectedteam,selectednum,mean_to_self,mean_to_other,not_altru_indiv,inequality_aversion_score,payed_slider,svoprofit,kept_of_sender,received_from_sender,totalpayoff,topay,session,groupid,correct,correct_group,svo_angle,svo_type,collectivism,sent,returned,kindness,norsent,discrimination,partner_team,partner_id,direct,otherdirect,greciprocity,othergreciprocity,ingroup,otheringroup,conddirect,condgrec,condin,condition,_est_disc_senders,_est_discrimination,_est_disc_responders,subdisc,inbiasround,inbias,groupbias,groupkindness,groupsend,history,baseline,falsebaseline,indcondition
1,1,1,140610_0932,1,1,0,0,1,Sender,1,2,2,1,2,200,35,2,3,4,2,30,1,1,0,0,0,0,0,0,-99,5,0,0,0,250,42,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,1,0,0,0,0,1,0,Group,1,1,0,0,,0,-10,,72.25,0,0,0,Group
1,1,2,140610_0932,1,1,0,0,1,Sender,1,2,2,1,2,200,35,2,3,6,2,30,1,1,0,0,0,0,0,0,-99,5,0,0,0,250,42,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,0,1,0,0,0,1,0,Group,1,1,0,0,,0,-10,,72.25,0,1,1,Baseline
1,2,1,140610_0932,1,1,0,0,1,Sender,1,2,2,1,7,200,35,2,3,5,1,1,5,1,0,0,0,0,0,0,-99,6,0,0,0,250,42,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,0,0,0,0,0,0,0,Baseline,1,1,0,0,,,,,72.25,0,1,0,Baseline
1,2,2,140610_0932,1,1,0,0,1,Sender,1,2,2,1,7,200,35,2,3,5,3,1,5,1,0,0,0,0,0,0,-99,6,0,0,0,250,42,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,0,0,0,0,0,0,0,Baseline,1,1,0,0,,,,,72.25,0,1,0,Baseline
1,3,1,140610_0932,1,1,0,0,1,Sender,1,2,2,1,7,200,35,2,3,1,4,50,1,4,1,5,1,0,0,0,-99,5,0,0,0,251,42,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,0,0,1,0,0,0,1,In-Group,1,1,0,0,0,,,,72.25,1,0,0,In-Group
1,3,2,140610_0932,1,1,0,0,1,Sender,1,2,2,1,7,200,35,2,3,3,1,50,1,4,1,5,1,0,0,0,-99,5,0,0,0,251,42,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,0,0,0,1,0,0,1,In-Group,1,1,0,0,0,,,,72.25,1,1,1,Baseline
1,4,1,140610_0932,1,1,0,0,1,Sender,1,2,2,1,4,200,35,2,3,3,1,30,1,1,1,5,1,0,0,0,-99,2,0,0,0,251,42,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,0,0,0,0,0,0,0,Baseline,1,1,0,,,,,,72.25,0,1,0,Baseline
1,4,2,140610_0932,1,1,0,0,1,Sender,1,2,2,1,4,200,35,2,3,6,2,30,1,1,1,5,1,0,0,0,-99,2,0,0,0,251,42,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,0,0,0,0,0,0,0,Baseline,1,1,0,,,,,,72.25,0,1,0,Baseline
1,5,1,140610_0932,1,1,0,0,1,Sender,1,2,2,1,4,200,35,2,3,4,3,30,1,1,30,1,1,0,0,0,-99,6,0,0,0,280,47,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,1,0,0,0,0,1,0,Group,1,1,0,,,,,,72.25,0,0,0,Group
1,5,2,140610_0932,1,1,0,0,1,Sender,1,2,2,1,4,200,35,2,3,5,1,30,1,1,30,1,1,0,0,0,-99,6,0,0,0,280,47,1,1,4,2,28.442928,2,4,100,100,.33333334,.66666669,0,4,1,0,0,0,1,0,0,0,1,0,Group,1,1,0,,,,,,72.25,0,1,1,Baseline
