SessionID,TreatmentNumber,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,Pair,RoleTrust,InGroup,input_self[1],input_self[2],input_self[3],input_self[4],input_self[5],input_self[6],input_other[1],input_other[2],input_other[3],input_other[4],input_other[5],input_other[6],chosen_option[1],chosen_option[2],chosen_option[3],chosen_option[4],chosen_option[5],chosen_option[6],item_order[1],item_order[2],item_order[3],item_order[4],item_order[5],item_order[6],random_numbers[1],random_numbers[2],random_numbers[3],random_numbers[4],random_numbers[5],random_numbers[6],all_unique,item_rank,svoGroup,Role,raven1,raven2,raven3,raven4,raven5,Q1,Q2,Q3,Q4,Q5,GroupCorrect1,GroupCorrect2,GroupCorrect3,GroupCorrect4,GroupCorrect5,ravenfeedback1,RoleDictator,TrustGame,TrustGameResponder,trustfeedback1,Trio,Allocation,ravenprofit,trustprofit,dictatorprofit,AllocationDummy,TimeOKColorOK,TimeChatGroup1raven1OK,TimeChatGroupraven2OK,TimeChatGroupraven3OK,TimeChatGroupraven4OK,TimeChatGroupraven5OK,checker1,checker2,checker3,counter,fakepropose,fakerespond,TimePracticeTrustOK,TimeAEPracticeTrustOK,TimeTrustGameProposeOK,TimeAETrustGameResponseOK,Other1,Other2,Other1Team,Other2Team,Other1Num,Other2Num,TimeDictatorAllocateOK,random_dict,Dictator_roundpay,Dictator_team,Dictator_num,random_round,DictatorProfit,SelectedTeam,SelectedNum,item_num,self[1],self[2],self[3],self[4],self[5],self[6],self[7],self[8],self[9],other[1],other[2],other[3],other[4],other[5],other[6],other[7],other[8],other[9],option,LeaveStage,TimeSVOItemsOK,TimeKillSVOItemsOK,mean_to_self,mean_to_other,k,svo_angle,svo_type,avg_dist_to_equality,avg_dist_to_altruist,avg_dist_to_joint,avg_dist_to_indiv,j,not_altru_indiv,inequality_aversion_score,payed_slider,svoProfit,kept_of_sender,received_from_sender,TimeSummaryOK,q1,q2,q3,q4,q5,TimeOKCollectivismOK,totalpayoff,ToPay,TimeFinalFeedbackOK,
150114_1400,2,subjects,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,2,1,5,0.327564026,0.215075167,0.949883443,0.130656862,0.067825552,0.38310808,1,1,2,2,1,3,6,2,8,10,0,10,10,0,5,0,5,5,0,-1,1,150,225,-1,2,35,45,225,0,35,27,20,2,54,79,1,1,0,0,5,0,0,99999,99999,19,0,2,3,4,6,2,2,99999,1,30,1,1,5,0,0,0,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,9,0,0,0,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,0,-1,-1,-1,-1,-1,0,270,45,0,
150114_1400,2,subjects,1,2,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,5,4,3,0.848582772,0.037352401,0.078800429,0.646719628,0.320305439,0.313804049,1,1,2,1,1,6,6,2,5,10,0,10,10,0,5,0,5,5,0,-1,1,5,0,-1,1,40,45,145,0,30,26,18,2,13,3,0,1,0,0,5,0,0,99999,99999,9,0,2,3,2,4,1,1,99999,1,30,1,2,3,0,0,0,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,190,32,-,
150114_1400,2,subjects,1,3,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,6,1,2,0.83832083,0.781801074,0.73064585,0.897501863,0.570300313,0.729964083,1,1,1,2,1,3,6,2,6,10,0,10,10,10,5,0,5,5,0,-1,1,100,50,-1,4,35,55,100,0,35,20,9,5,30,51,2,0,1,1,7,130,10,99999,99999,18,0,2,3,3,6,3,4,99999,1,30,1,3,2,0,0,0,5,200,188,175,163,150,138,125,113,100,100,113,125,138,150,163,175,188,200,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,155,26,-,
150114_1400,2,subjects,1,4,1,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,3,4,6,0.16928343,0.691023382,0.029977051,0.39881291,0.416785261,0.865053318,1,1,1,1,1,7,6,2,6,10,0,10,10,10,5,0,5,5,0,-1,1,150,150,-1,6,35,55,150,0,35,22,6,3,89,103,76,0,1,1,4,150,450,99999,99999,25,0,2,3,2,5,3,3,99999,1,30,1,4,1,30,1,4,2,170,174,178,181,185,189,193,196,200,30,39,48,56,65,74,83,91,100,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,235,40,-,
150114_1400,2,subjects,1,5,2,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,4,3,2,0.909879215,0.016931653,0.810206641,0.4771327,0.461656125,0.054493072,1,1,4,2,1,4,6,2,6,10,10,10,10,10,5,5,0,5,5,-1,2,50,50,-1,1,35,70,150,0,35,27,86,88,47,37,30,0,1,1,4,150,225,99999,99999,-7,0,3,1,4,1,1,2,99999,1,40,1,2,2,0,0,0,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,220,37,-,
150114_1400,2,subjects,1,6,2,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,3,2,5,0.339974662,0.658194784,0.915589951,0.613136577,0.37351877,0.824289835,1,1,4,1,1,4,6,2,6,10,10,10,10,10,5,5,0,5,5,-1,1,30,30,-1,5,50,70,150,0,20,26,75,33,64,31,2,1,0,0,4,0,0,99999,99999,15,0,2,3,5,6,2,1,99999,1,30,2,2,5,0,0,0,1,170,170,170,170,170,170,170,170,170,170,153,135,118,100,83,65,48,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,220,37,-,
150114_1400,2,subjects,1,7,2,0,0,0,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,6,3,2,0.279733274,0.48248839,0.061508985,0.796910495,0.195279438,0.104646926,1,1,3,2,1,4,0,2,6,10,10,0,10,10,5,5,0,5,5,-1,2,30,45,-1,6,35,60,165,0,35,21,38,7,0,0,1,0,1,1,5,34,43,99999,99999,5,0,3,1,5,1,3,4,99999,1,35,1,4,3,0,0,0,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,225,38,-,
150114_1400,2,subjects,1,8,2,0,0,0,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,2,6,3,0.944054274,0.800890809,0.135508595,0.571824045,0.957551546,0.727217579,1,1,3,1,1,4,6,2,6,10,10,10,10,10,5,5,0,5,5,-1,1,150,225,-1,8,35,70,225,0,35,25,58,45,88,61,32,0,1,1,4,150,150,99999,99999,19,0,2,3,4,4,3,4,99999,1,30,2,4,4,0,0,0,5,200,188,175,163,150,138,125,113,100,100,113,125,138,150,163,175,188,200,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,1,0,0,0,-,-1,-1,-1,-1,-1,-,295,50,-,
150114_1400,2,subjects,1,9,3,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,2,5,1,0.568839926,0.867766621,0.983674251,0.567334963,0.905097488,0.146603055,1,1,6,2,1,7,6,2,3,10,0,10,10,0,0,0,5,5,0,-1,1,150,225,-1,7,35,40,225,0,35,14,3,19,74,0,18,0,1,1,4,150,225,99999,99999,24,0,2,3,3,5,2,1,99999,1,30,3,1,3,0,0,0,3,100,109,118,126,135,144,153,161,170,200,196,193,189,185,181,178,174,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,265,45,-,
150114_1400,2,subjects,1,10,3,0,0,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,3,5,1,0.742896874,0.339555251,0.674688407,0.4880576,0.731398892,0.024351366,1,1,6,1,1,7,6,2,6,10,0,10,10,10,0,0,5,5,0,-1,2,150,225,-1,7,35,50,225,0,35,27,75,3,41,21,12,1,0,0,4,0,0,99999,99999,24,0,3,1,5,3,1,1,99999,1,35,3,1,3,0,0,0,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,4,0,0,0,-,-1,-1,-1,-1,-1,-,275,46,-,
