140603_1201,2,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,InGroup,input_self[1],input_self[2],input_self[3],input_self[4],input_self[5],input_self[6],input_other[1],input_other[2],input_other[3],input_other[4],input_other[5],input_other[6],chosen_option[1],chosen_option[2],chosen_option[3],chosen_option[4],chosen_option[5],chosen_option[6],item_order[1],item_order[2],item_order[3],item_order[4],item_order[5],item_order[6],random_numbers[1],random_numbers[2],random_numbers[3],random_numbers[4],random_numbers[5],random_numbers[6],all_unique,item_rank,svoGroup,Role,raven1,raven2,raven3,raven4,raven5,Q1,Q2,Q3,Q4,Q5,GroupCorrect1,GroupCorrect2,GroupCorrect3,GroupCorrect4,GroupCorrect5,ravenfeedback1,ravenprofit,Pair,RoleTrust,TrustGame,TrustGameResponder,trustfeedback1,% Sent back,trustprofit,Trio,RoleDictator,Allocation,dictatorprofit,AllocationDummy,TimeOKColorOK,TimeChatGroup1raven1OK,TimeChatGroupraven2OK,TimeChatGroupraven3OK,TimeChatGroupraven4OK,TimeChatGroupraven5OK,checker1,checker2,checker3,counter,fakepropose,fakerespond,TimePracticeTrustOK,TimeAEPracticeTrustOK,TimeTrustGameProposeOK,TimeAETrustGameResponseOK,Other1,Other2,Other1Team,Other2Team,Other1Num,Other2Num,TimeDictatorAllocateOK,random_dict,Dictator_roundpay,Dictator_team,Dictator_num,random_round,DictatorProfit,SelectedTeam,SelectedNum,TimeAECalculateDictatorOK,item_num,self[1],self[2],self[3],self[4],self[5],self[6],self[7],self[8],self[9],other[1],other[2],other[3],other[4],other[5],other[6],other[7],other[8],other[9],option,LeaveStage,TimeSVOItemsOK,TimeKillSVOItemsOK,mean_to_self,mean_to_other,k,svo_angle,svo_type,avg_dist_to_equality,avg_dist_to_altruist,avg_dist_to_joint,avg_dist_to_indiv,j,not_altru_indiv,inequality_aversion_score,payed_slider,svoProfit,kept_of_sender,received_from_sender,TimeSummaryOK,q1,q2,q3,q4,q5,TimeOKCollectivismOK,totalpayoff,ToPay,TimeFinalFeedbackOK,
140603_1201,2,subjects,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,6,2,4,0.371014764,0.690627508,0.64154735,0.797595032,0.385614098,0.66884494,1,1,2,2,0,1,6,3,6,0,0,10,0,10,0,0,5,0,0,-1,25,1,1,200,10,-1,2%,10,1,1,35,0,35,25,0,6,59,55,5,0,1,1,4,150,150,99999,99999,26,0,2,3,2,4,3,1,4,1,30,1,1,3,0,0,0,0,1,170,170,170,170,170,170,170,170,170,170,153,135,118,100,83,65,48,30,9,0,0,0,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,6,0,0,0,0,-1,-1,-1,-1,-1,0,35,7,0,
140603_1201,2,subjects,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,6,2,4,0.489207512,0.268423646,0.29612229,0.585569634,0.275877474,0.362766408,1,1,2,1,1,1,6,2,5,10,0,10,10,0,0,0,5,0,0,-1,35,2,1,200,300,-1,50%,300,2,1,35,0,35,28,10,47,10,30,1,1,0,0,4,0,0,99999,99999,23,0,2,3,2,4,4,2,2,1,30,1,2,5,0,0,0,-,5,200,188,175,163,150,138,125,113,100,100,113,125,138,150,163,175,188,200,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,6,0,0,0,-,-1,-1,-1,-1,-1,-,335,67,-,
140603_1201,2,subjects,1,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,5,1,2,0.965115428,0.564423658,0.446928555,0.864290295,0.029032729,0.229622641,1,1,1,2,1,1,6,2,6,10,0,10,10,10,0,0,5,0,0,-1,45,3,1,200,250,-1,42%,250,3,1,35,0,35,24,61,20,38,40,55,1,0,0,4,200,0,99999,99999,22,0,2,3,3,6,1,1,-9,1,30,1,3,2,0,0,0,-,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,6,0,0,0,-,-1,-1,-1,-1,-1,-,295,59,-,
140603_1201,2,subjects,1,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,2,6,0.088518121,0.63207569,0.825229013,0.927325782,0.349509601,0.958824949,1,1,1,1,0,3,6,0,6,0,0,10,0,10,0,0,5,0,0,-1,25,4,1,200,300,-1,50%,300,4,1,35,0,35,26,0,3,50,0,2,0,1,1,4,50,1,99999,99999,18,0,2,3,3,6,2,2,7,1,30,1,4,3,0,0,0,-,1,170,170,170,170,170,170,170,170,170,170,153,135,118,100,83,65,48,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,6,0,0,0,-,-1,-1,-1,-1,-1,-,325,65,-,
140603_1201,2,subjects,1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,5,1,3,0.970915392,0.502021182,0.208043409,0.542679317,0.207859178,0.263328344,1,1,4,2,1,0,6,3,8,10,0,10,0,0,0,0,5,0,0,-1,25,5,1,200,300,-1,50%,300,5,1,40,0,30,29,65,0,9,13,34,0,1,1,4,150,200,99999,99999,17,0,2,3,4,5,4,2,11,1,30,2,1,1,30,2,1,-,6,200,196,193,189,185,181,178,174,170,100,109,118,126,135,144,153,161,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,355,71,-,
140603_1201,2,subjects,1,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,1,5,4,0.528229834,0.948430019,0.506144643,0.150628268,0.754539026,0.724057216,1,1,4,1,0,0,6,3,8,0,0,10,0,0,0,0,5,0,0,-1,15,6,1,20,5,-1,8%,185,6,1,35,0,35,22,0,0,26,3,22,0,1,1,4,70,20,99999,99999,3,0,2,3,4,5,3,1,14,1,30,2,2,1,30,2,2,-,3,100,109,118,126,135,144,153,161,170,200,196,193,189,185,181,178,174,170,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,230,46,-,
140603_1201,2,subjects,1,7,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,6,1,4,0.415222321,0.267730978,0.21289645,0.470233408,0.005376496,0.290880351,1,1,3,2,1,3,6,3,8,10,0,10,0,0,0,0,5,0,0,-1,25,7,1,55,50,-1,30%,195,1,2,35,0,35,28,3,3,58,41,30,1,0,0,4,0,0,99999,99999,20,0,3,1,4,1,1,1,7,1,35,1,1,1,35,1,1,-,5,200,188,175,163,150,138,125,113,100,100,113,125,138,150,163,175,188,200,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,255,51,-,
140603_1201,2,subjects,1,8,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,6,5,3,0.015020344,0.28500424,0.066263827,0.708665163,0.694997634,0.218020816,1,1,3,1,1,0,6,3,0,10,0,10,0,0,0,0,5,0,0,-1,25,8,1,100,0,-1,0%,100,2,2,20,0,50,27,56,0,57,5,0,1,0,0,4,0,0,99999,99999,19,0,3,1,4,1,2,2,-31,1,35,1,2,2,0,0,0,-,1,170,170,170,170,170,170,170,170,170,170,153,135,118,100,83,65,48,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,125,25,-,
140603_1201,2,subjects,1,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,6,2,3,0.547731916,0.759473448,0.141807952,0.834898662,0.410107107,0.428449969,1,1,6,2,5,3,6,2,6,0,0,10,10,10,0,0,5,0,5,-1,40,9,1,200,300,-1,50%,300,3,2,35,0,35,24,25,0,53,0,29,0,1,1,4,50,1,99999,99999,24,0,3,1,6,1,1,3,8,1,35,1,3,3,0,0,0,-,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,340,68,-,
140603_1201,2,subjects,1,10,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,1,6,3,0.625314584,0.535396567,0.70396024,0.275861825,0.958621273,0.609297882,1,1,6,1,5,0,6,3,6,0,0,10,0,10,0,0,5,0,5,-1,30,10,1,0,0,-1,0%,200,4,2,35,0,35,28,11,0,57,17,10,0,1,1,4,0,0,99999,99999,7,0,3,1,6,1,2,4,0,1,35,1,4,3,0,0,0,-,4,100,109,118,126,135,144,153,161,170,200,179,158,136,115,94,73,51,30,-,-,-,-,0,0,7,45,2,-99,-99,-99,-99,16,0,-99,5,0,0,0,-,-1,-1,-1,-1,-1,-,230,46,-,
