repetition,b,periods,memory,G,N,fixation_threshold,winner,generation,cor_prop_fit,cor_prop_reput,cor_reput_fit
1,5,24,12,6,72,0.99,S,805,0.18668715322142626,0.4339090583622829,0.5155501583530457
1,5,24,12,6,240,0.99,S,1353,0.06881431690815948,0.3880650049125276,0.4353188961949886
1,5,24,12,12,72,0.99,S,299,0.0950939722609418,0.5165099895074213,0.6686335104597833
1,5,24,12,12,240,0.99,S,1266,0.05796227272688922,0.37086960431588545,0.5078861408244478
1,5,24,24,6,72,0.99,S,601,0.07414284130444818,0.7306006187290749,0.3631425407519148
1,5,24,24,6,240,0.99,S,600,0.038236863136326966,0.7786383551588211,0.2794942892690531
1,5,24,24,12,72,0.99,S,589,0.0702022417884019,0.8242351437739074,0.27744888018404995
1,5,24,24,12,240,0.99,S,999,0.21042407742637007,0.7336905071579275,0.5265080346275375
1,5,48,12,6,72,0.99,S,464,0.005527105559642232,0.3537429116389339,0.5203633428759613
1,5,48,12,6,240,0.99,S,1596,0.13588722733726816,0.3088803886372698,0.3310797519696901
1,5,48,12,12,72,0.99,GR,869,0.48719777459577407,0.5216199050225151,0.7497771322835398
1,5,48,12,12,240,0.99,S,2765,0.2511636836101473,0.38470765156834,0.5239555441924163
1,5,48,24,6,72,0.99,S,283,-0.14529913013224377,0.3787302155757075,0.5104885012254848
1,5,48,24,6,240,0.99,S,795,0.1500521605486992,0.36321047969311065,0.4305832354180425
1,5,48,24,12,72,0.99,S,488,0.20135921617102742,0.4334633557577813,0.6512485237024764
1,5,48,24,12,240,0.99,S,883,0.11511516264191105,0.3997209331673287,0.5695921635987267
1,25,24,12,6,72,0.99,GR,131,0.5614579370073478,0.7300843655732825,0.7880241726923867
1,25,24,12,6,240,0.99,S,974,0.10764191395670496,0.5041768031710749,0.5322341270168957
1,25,24,12,12,72,0.99,GR,144,0.35243344569944596,0.6513825823350358,0.7049169278267905
1,25,24,12,12,240,0.99,GR,909,0.4359276032930613,0.6841184462054123,0.7845884396946725
1,25,24,24,6,72,0.99,GR,371,0.3644610112066656,0.7352224483485408,0.6294722868202404
1,25,24,24,6,240,0.99,S,1347,0.25202846757711767,0.6914006351625337,0.5637295414849605
1,25,24,24,12,72,0.99,GR,354,0.4342387905952579,0.7160876235040439,0.757431929821494
1,25,24,24,12,240,0.99,S,1171,0.18102114183181225,0.715124031850185,0.5273689437534411
1,25,48,12,6,72,0.99,GR,138,0.302754928973693,0.6658197359225064,0.7140002201368401
1,25,48,12,6,240,0.99,S,1294,0.0826446742935152,0.27844623399755464,0.3843179909903814
1,25,48,12,12,72,0.99,GR,240,0.3870570307179579,0.5835410544642197,0.7943071916634442
1,25,48,12,12,240,0.99,GR,1338,0.47915505664758684,0.6039799166993556,0.7891120365026931
1,25,48,24,6,72,0.99,S,2232,0.27549941546413736,0.5569328676732547,0.6728266401824798
1,25,48,24,6,240,0.99,S,2174,0.1517427644714048,0.5526315069308476,0.6545741179696813
1,25,48,24,12,72,0.99,GR,209,0.393562841934587,0.6808673394044148,0.6857853792447182
1,25,48,24,12,240,0.99,GR,1046,0.4361117750770456,0.6532124980173326,0.8227583434376428
2,5,24,12,6,72,0.99,S,850,0.221849396714947,0.4686181178530817,0.5173561304696567
2,5,24,12,6,240,0.99,S,1361,0.06329213873968391,0.35120532549602296,0.36855914413879787
2,5,24,12,12,72,0.99,GR,1369,0.4192144063814278,0.6418321370245392,0.7393981961535094
2,5,24,12,12,240,0.99,S,789,0.15252676657445285,0.3745397412323948,0.520172885550761
2,5,24,24,6,72,0.99,S,591,0.059647462898369974,0.7443665845769322,0.3628604796469313
2,5,24,24,6,240,0.99,S,913,0.01656415036873521,0.7669031391580228,0.27164472326782946
2,5,24,24,12,72,0.99,S,418,-0.02292709185358764,0.8650411393659931,0.13365867614935106
2,5,24,24,12,240,0.99,S,551,0.2297024595715617,0.7449750709457166,0.511194563031829
2,5,48,12,6,72,0.99,S,440,0.2192317372066809,0.5147496593633338,0.5764341776289346
2,5,48,12,6,240,0.99,S,825,0.08845790439613686,0.25121905795029925,0.28927249976890923
2,5,48,12,12,72,0.99,GR,439,0.488272073774504,0.5982855132459346,0.7118728111769448
2,5,48,12,12,240,0.99,S,940,0.16267990271785127,0.40323825228274895,0.5646362668655994
2,5,48,24,6,72,0.99,S,876,0.24503684765709288,0.6021965811775086,0.6980244960795873
2,5,48,24,6,240,0.99,S,1053,0.1545869112680207,0.41560618809804084,0.5042741412894665
2,5,48,24,12,72,0.99,GR,346,0.48451218950429037,0.6858473146296417,0.8285080048375079
2,5,48,24,12,240,0.99,S,979,0.16279822580016512,0.4266537809218613,0.5534960085556228
2,25,24,12,6,72,0.99,GR,692,0.33014779902937375,0.6030352330572063,0.6478711929003704
